user_id,MONTH,YEAR,distance,COUNT
334922,11,2015,120,1
334924,11,2015,120,1
334928,11,2015,5,1
334934,11,2015,165,1
334934,12,2015,350,3
334938,11,2015,385,2
334943,11,2015,136,2
334950,11,2015,120,2
334952,11,2015,153,5
334953,11,2015,385,2
334955,11,2015,367,1
334959,11,2015,36,1
334976,11,2015,26,1
334986,11,2015,101,1
334992,11,2015,10,1
334993,11,2015,540,4
334993,12,2015,140,1
335004,11,2015,749,1
335007,12,2015,7691,4
335024,11,2015,118,4
335024,12,2015,40,6
335030,11,2015,64,1
335035,11,2015,186,1
335040,11,2015,16,1
335040,12,2015,60,1
335044,11,2015,432,1
335045,12,2015,100,2
335058,11,2015,1302,5
335058,12,2015,3818,3
335073,11,2015,92,2
335073,12,2015,80,2
335077,11,2015,148,1
335077,12,2015,148,1
335080,11,2015,456,3
335080,12,2015,192,1
335081,11,2015,150,3
335082,11,2015,96,2
335082,12,2015,64,2
335084,11,2015,480,2
335085,11,2015,676,1
335087,11,2015,100,2
335087,12,2015,72,2
335088,11,2015,111,2
335090,11,2015,308,1
335096,11,2015,88,2
335096,12,2015,68,2
335099,11,2015,64,2
335099,12,2015,84,2
335109,12,2015,462,1
335116,11,2015,155,4
335117,11,2015,76,2
335117,12,2015,80,2
335128,11,2015,334,1
335142,11,2015,230,1
335150,11,2015,1320,1
335157,11,2015,864,1
335159,11,2015,200,3
335181,11,2015,351,1
335183,12,2015,240,3
335184,11,2015,351,2
335188,11,2015,112,2
335188,12,2015,288,2
335201,11,2015,175,5
335201,12,2015,27,1
335220,1,2016,84,2
335220,11,2015,97,6
335220,12,2015,484,12
335226,11,2015,148,1
335236,11,2015,630,2
335239,11,2015,384,1
335256,11,2015,120,1
335257,11,2015,2802,2
335259,11,2015,100,1
335264,12,2015,127,1
335267,11,2015,144,1
335271,12,2015,1126,2
335275,11,2015,168,1
335277,11,2015,200,1
335285,11,2015,192,1
335295,11,2015,301,2
335306,11,2015,14,1
335316,11,2015,387,2
335325,11,2015,35,1
335326,11,2015,180,1
335330,11,2015,297,1
335331,11,2015,115,1
335335,11,2015,23,1
335342,11,2015,317,1
335343,11,2015,211,1
335351,11,2015,18,1
335353,12,2015,880,1
335354,11,2015,105,1
335379,11,2015,254,4
335379,12,2015,80,1
335402,12,2015,708,2
335403,11,2015,800,4
335403,12,2015,200,1
335409,11,2015,264,5
335409,12,2015,35,1
