user_id,month,year,country,distance
7356,11,2014,Mexico,264
7371,12,2014,Mexico,480
7373,7,2015,Mexico,1800
7377,12,2014,Colombia,462
7382,8,2014,Brasil,5
7387,1,2015,Mexico,18
7390,9,2014,Mexico,883
7396,8,2014,Mexico,87
7406,9,2014,Mexico,2096
7409,8,2014,Brasil,345
7412,4,2015,Colombia,545
7453,8,2015,Mexico,10080
7460,10,2014,Mexico,39
7462,1,2015,Brasil,318
7474,11,2014,Brasil,106
7517,9,2014,Brasil,984
7549,4,2015,Brasil,348
7550,12,2014,Brasil,350
7552,9,2014,Brasil,50
7558,11,2014,"Malaysia + Singapore",17
7565,8,2015,Brasil,126
7596,9,2014,Colombia,76
7601,9,2014,Colombia,72
7635,3,2015,Brasil,101
7637,9,2014,Brasil,440
7638,9,2014,Brasil,20
7647,10,2015,Brasil,206
7657,11,2014,Brasil,101
7662,9,2014,Brasil,100
7664,9,2014,Brasil,297
7685,9,2014,Colombia,156
7690,9,2014,Colombia,106
7692,9,2014,Colombia,99
7714,4,2015,Colombia,80
7717,6,2015,Brasil,204
7719,11,2014,Brasil,514
7729,9,2014,Colombia,32
7731,5,2015,Brasil,2296
7732,9,2014,Brasil,200
7736,11,2014,Brasil,1206
7755,10,2014,Brasil,64
7762,6,2015,Brasil,236
7773,4,2015,Colombia,840
7779,9,2014,Brasil,500
7782,11,2015,Brasil,321
7800,10,2014,Brasil,477
7803,9,2014,Colombia,37
7804,9,2014,Brasil,969
7820,12,2015,Colombia,842
7855,11,2014,Brasil,180
7859,9,2015,Brasil,70
7861,6,2015,Brasil,111
7862,9,2014,Brasil,82
7863,12,2014,"Malaysia + Singapore",12
7864,9,2014,"Malaysia + Singapore",49
7868,9,2014,"Malaysia + Singapore",22
7871,9,2014,Brasil,433
7886,9,2014,Colombia,37
7910,9,2014,Brasil,4612
7956,9,2014,Brasil,22
8000,10,2014,Brasil,576
8003,7,2015,Brasil,292
8009,9,2014,Colombia,110
8010,11,2014,Brasil,478
8013,9,2014,Brasil,204
8014,9,2014,Brasil,735
8026,9,2014,Colombia,26
8034,9,2014,Colombia,74
8038,4,2015,Colombia,105
8048,9,2014,Colombia,966
8051,12,2014,Colombia,34
8053,9,2014,Colombia,114
8096,9,2014,Colombia,3348
8101,9,2014,Brasil,306
8108,9,2014,Colombia,108
8112,10,2014,Brasil,374
8117,10,2014,Colombia,64
8120,9,2014,Colombia,38
8126,9,2014,Brasil,315
8130,9,2014,Brasil,98
8137,9,2014,Colombia,78
8138,9,2014,Brasil,146
8141,9,2014,Colombia,190
8143,9,2014,Colombia,38
8146,9,2014,Brasil,1750
8153,9,2014,Brasil,73
8156,9,2014,Brasil,204
8159,11,2014,Colombia,114
8161,9,2014,Colombia,38
8167,9,2014,Colombia,1760
8187,9,2014,Mexico,408
8189,12,2014,Colombia,218
8190,9,2014,Brasil,248
8220,8,2015,Brasil,2065
8239,10,2014,Chile,125
8284,9,2014,Brasil,795
8288,7,2015,Brasil,261
8294,6,2015,Brasil,566
8295,2,2015,Brasil,1142
8305,10,2014,Brasil,348
8309,10,2015,Brasil,172
8314,3,2015,Brasil,400
8324,9,2014,Brasil,125
8336,10,2014,Brasil,317
8354,9,2014,Brasil,939
8360,10,2014,Colombia,80
8366,9,2014,Brasil,354
8395,5,2015,"Malaysia + Singapore",32
8397,9,2014,Brasil,331
8401,9,2014,Brasil,252
8404,9,2014,Brasil,83
8411,9,2014,"Malaysia + Singapore",32
8446,9,2015,Brasil,108
8449,9,2014,Brasil,404
8477,3,2015,Colombia,78
8495,1,2015,Colombia,468
8507,9,2014,Brasil,813
8508,7,2015,Brasil,267
8509,10,2015,Brasil,2190
8515,9,2014,Mexico,300
8568,10,2015,Brasil,360
8569,11,2014,Mexico,98
8576,12,2014,Mexico,504
8578,9,2014,Brasil,15
8584,9,2014,Brasil,5
8585,9,2015,Brasil,662
8590,6,2015,Brasil,2608
8599,10,2014,Brasil,132
8610,3,2015,Brasil,318
8611,9,2014,Brasil,334
8614,4,2015,Brasil,129
8615,9,2014,Brasil,161
8622,10,2014,Brasil,1848
8623,10,2014,Brasil,452
8644,9,2014,Colombia,40
8646,8,2015,Brasil,460
8651,9,2014,"Malaysia + Singapore",50
8675,10,2014,Brasil,404
8689,5,2015,Brasil,462
8698,10,2014,Brasil,344
8704,11,2014,Brasil,26
8745,9,2015,Brasil,197
8747,11,2014,Brasil,624
8764,9,2014,Brasil,700
8778,9,2014,Brasil,678
8780,12,2014,Brasil,100
8804,2,2015,Brasil,42
8811,9,2014,Brasil,115
8816,5,2015,Colombia,11
8825,9,2014,Brasil,6272
8842,9,2015,Brasil,976
8872,9,2015,Brasil,420
8891,9,2015,Brasil,870
8897,3,2015,Brasil,540
8926,8,2015,Brasil,1290
8929,11,2015,Brasil,102
8940,10,2014,Colombia,156
8948,3,2015,Colombia,31
8949,9,2014,Brasil,187
8953,9,2014,Colombia,32
8959,10,2014,Colombia,114
8988,12,2014,Colombia,492
8998,9,2014,"United States",122
9003,11,2014,Brasil,364
9012,10,2014,Brasil,616
9019,9,2014,Colombia,80
9022,9,2014,Colombia,152
9025,10,2014,Colombia,31
9030,3,2015,Colombia,775
9031,9,2014,Colombia,12
9063,10,2015,Colombia,423
9106,9,2014,Colombia,428
9182,11,2014,Colombia,64
9187,10,2015,Brasil,298
9196,9,2014,Brasil,93
9221,8,2015,Colombia,105
9232,9,2014,Colombia,117
9252,9,2014,Brasil,240
9260,10,2014,Brasil,281
9263,5,2015,Brasil,963
9266,7,2015,Brasil,534
9290,12,2015,Colombia,582
9310,9,2014,Colombia,11
9326,9,2014,Colombia,111
9333,2,2015,Brasil,618
9354,4,2015,Brasil,508
9387,8,2015,Brasil,13
9389,9,2014,Brasil,101
9394,11,2014,Brasil,510
9399,9,2014,Colombia,140
9401,9,2014,Brasil,448
9419,7,2015,Colombia,210
9427,9,2014,Brasil,594
9446,11,2014,Brasil,570
9452,9,2014,Brasil,196
9453,9,2014,Brasil,338
9456,9,2014,Brasil,1836
9464,10,2014,Brasil,20
9470,8,2015,Colombia,282
9482,12,2014,"Malaysia + Singapore",160
9484,2,2015,"Malaysia + Singapore",40
9489,2,2015,Colombia,62
9502,9,2014,Colombia,76
9531,9,2014,Brasil,109
9544,9,2014,Brasil,252
9547,12,2015,Brasil,237
9548,9,2014,Brasil,902
9549,10,2015,Brasil,303
9551,9,2014,Brasil,12
9552,3,2015,Brasil,30
9568,9,2014,Brasil,636
9581,9,2014,Brasil,128
9588,9,2014,Brasil,224
9594,9,2014,Brasil,303
9611,9,2014,Brasil,616
9618,10,2014,Brasil,343
9620,9,2014,Brasil,132
9652,9,2014,Brasil,1428
9653,12,2014,"Malaysia + Singapore",8
9673,11,2014,"United States",31
9676,9,2014,Brasil,170
9679,9,2014,Brasil,198
9683,9,2014,Brasil,270
9686,5,2015,Brasil,333
9690,11,2014,Brasil,540
9693,9,2014,Brasil,374
9705,9,2014,Colombia,148
9727,8,2015,Colombia,124
9766,7,2015,Colombia,51
9777,9,2014,Brasil,193
9784,9,2014,Brasil,10
9796,11,2015,Brasil,97
9838,9,2014,"Malaysia + Singapore",428
9846,8,2015,Brasil,492
9886,3,2015,Brasil,92
9902,9,2014,Colombia,540
9910,9,2014,Colombia,1194
9918,9,2014,Colombia,5080
9936,9,2014,Colombia,672
9937,9,2014,Colombia,1393
9939,9,2014,Colombia,608
9940,9,2014,Brasil,952
10000,8,2015,Brasil,446
10049,11,2014,"Malaysia + Singapore",76
10061,12,2014,Brasil,763
10088,2,2015,Colombia,114
10089,10,2014,Brasil,272
10092,10,2014,"Argentina + Uruguay",21
10116,10,2014,Brasil,433
10118,5,2015,Brasil,306
10141,9,2014,Taiwan,88
10149,6,2015,"Malaysia + Singapore",26
10230,6,2015,Colombia,116
10231,3,2015,Brasil,282
10232,3,2015,Brasil,242
10245,9,2014,Colombia,1215
10260,10,2014,"United States",1515
10277,9,2014,"Argentina + Uruguay",108
10281,9,2014,"Argentina + Uruguay",5
10287,11,2014,Brasil,771
10301,9,2014,Brasil,190
10314,2,2015,Colombia,108
10337,12,2014,Brasil,658
10361,12,2015,"Malaysia + Singapore",410
10366,3,2015,Brasil,656
10394,10,2014,"Malaysia + Singapore",16
10415,2,2015,Colombia,16
10423,10,2014,Colombia,1215
10451,12,2014,"Argentina + Uruguay",2412
10458,9,2014,"Argentina + Uruguay",60
10460,6,2015,Brasil,116
10461,1,2015,"Argentina + Uruguay",812
10467,12,2014,Colombia,69
10474,9,2014,Colombia,1194
10491,10,2014,Brasil,159
10505,10,2014,Colombia,292
10511,9,2014,"Argentina + Uruguay",16
10532,10,2014,"Argentina + Uruguay",298
10545,3,2015,Brasil,14
10571,9,2014,Colombia,162
10573,10,2015,Brasil,1156
10575,1,2015,Colombia,872
10583,9,2014,Colombia,1592
10588,9,2014,Colombia,558
10596,9,2014,Colombia,3120
10598,11,2014,Brasil,603
10606,8,2015,Brasil,639
10630,9,2014,Brasil,259
10634,11,2014,Mexico,440
10638,9,2015,Chile,159
10645,10,2014,Brasil,344
10650,11,2014,Colombia,612
10653,10,2014,"Argentina + Uruguay",16
10658,9,2014,Brasil,162
10669,3,2015,Brasil,495
10670,1,2015,Brasil,300
10673,11,2014,Brasil,190
10674,8,2015,Brasil,140
10675,9,2015,Brasil,73
10679,11,2015,Brasil,398
10689,11,2014,Brasil,952
10708,10,2014,"Malaysia + Singapore",6
10721,7,2015,Brasil,351
10725,9,2014,Brasil,71
10727,5,2015,Brasil,156
10758,9,2014,"Argentina + Uruguay",824
10790,12,2014,Brasil,167
10792,9,2014,Colombia,828
10795,9,2014,Colombia,1104
10805,12,2014,Colombia,404
10808,12,2014,Colombia,7512
10810,9,2014,Brasil,75
10829,9,2014,Brasil,656
10864,9,2015,"Malaysia + Singapore",28
10874,9,2014,Colombia,270
10922,7,2015,Brasil,1650
10926,9,2014,Brasil,368
10934,9,2014,Mexico,188
10935,11,2014,Colombia,1272
10939,9,2014,Colombia,807
10965,9,2014,Colombia,1100
10994,11,2014,Brasil,95
11010,4,2015,Colombia,105
11032,3,2015,Colombia,446
11054,2,2015,Brasil,190
11082,10,2014,Brasil,21
11091,11,2015,"Malaysia + Singapore",78
11093,10,2015,Colombia,73
11105,9,2014,Mexico,128
11111,10,2014,Brasil,450
11112,9,2014,"Malaysia + Singapore",12
11125,9,2014,"Malaysia + Singapore",419
11136,8,2015,Colombia,8
11141,10,2014,"Argentina + Uruguay",198
11147,11,2014,Brasil,86
11150,6,2015,Colombia,124
11169,9,2014,Colombia,90
11187,2,2015,Brasil,222
11204,4,2015,Colombia,60
11208,5,2015,Brasil,118
11216,9,2014,Brasil,327
11219,9,2014,Brasil,182
11232,9,2014,"Malaysia + Singapore",329
11249,9,2014,Brasil,87
11255,12,2015,Colombia,848
11277,9,2014,Colombia,64
11282,7,2015,Brasil,345
11300,11,2015,Colombia,398
11308,2,2015,"Argentina + Uruguay",779
11313,9,2015,Colombia,116
11315,5,2015,Brasil,224
11325,3,2015,Colombia,193
11335,5,2015,Colombia,24
11345,3,2015,"Argentina + Uruguay",36
11357,10,2015,Brasil,981
11360,8,2015,Brasil,263
11373,9,2014,Brasil,252
11380,11,2014,"Argentina + Uruguay",8
11384,2,2015,Colombia,74
11431,11,2015,Colombia,125
11444,10,2014,Colombia,9
11486,9,2015,Brasil,77
11500,10,2014,"Malaysia + Singapore",355
11505,10,2015,Colombia,102
11513,6,2015,"Malaysia + Singapore",1355
11560,10,2014,Brasil,218
11561,11,2014,Brasil,159
11567,10,2014,Brasil,620
11573,10,2014,Brasil,152
11584,10,2014,Colombia,228
11588,10,2014,Colombia,120
11590,7,2015,Brasil,220
11596,12,2014,Brasil,99
11608,10,2014,"Malaysia + Singapore",69
11625,10,2014,Brasil,45
11626,10,2014,Brasil,868
11628,10,2014,Brasil,892
11639,11,2014,"Argentina + Uruguay",7
11646,10,2015,Brasil,328
11655,4,2015,Brasil,524
11688,11,2014,"Argentina + Uruguay",924
11701,1,2015,"Argentina + Uruguay",3582
11702,5,2015,Brasil,924
11722,10,2014,Brasil,209
11734,10,2014,Taiwan,112
11749,10,2014,Mexico,36
11762,10,2014,Brasil,344
11765,5,2015,Brasil,258
11771,10,2014,Brasil,90
11773,10,2014,Brasil,120
11775,10,2014,Brasil,308
11778,10,2015,Brasil,257
11807,8,2015,Brasil,448
11818,6,2015,Brasil,344
11825,10,2014,Brasil,106
11853,12,2014,Chile,124
11936,6,2015,Brasil,616
