user_id,YEAR,MONTH,distance,count
2530,2015,11,342,3
2534,2015,10,400,2
2554,2014,11,218,1
2554,2015,5,224,1
2554,2015,6,226,1
2554,2015,7,336,3
2554,2015,8,656,3
2554,2015,9,428,2
2554,2015,10,115,1
2554,2015,11,327,3
2554,2015,12,1040,5
2557,2015,7,93,1
2557,2015,10,225,2
2557,2015,12,433,1
2558,2015,12,2468,1
2560,2014,7,2460,5
2560,2014,10,394,3
2560,2014,11,10,1
2572,2015,7,90,1
2572,2015,10,202,1
2596,2015,5,102,1
2596,2015,6,101,1
2596,2015,8,83,1
2596,2015,9,280,2
2596,2015,10,190,2
2596,2015,11,102,1
2596,2015,12,91,1
2603,2014,6,634,1
2622,2014,6,196,2
2625,2014,6,314,1
2630,2015,7,107,1
2634,2014,12,117,1
2639,2014,6,317,1
2650,2015,2,326,3
2650,2015,3,95,1
2650,2015,6,121,1
2650,2015,8,575,5
2650,2015,9,596,5
2650,2015,10,244,2
2650,2015,11,115,1
2650,2015,12,433,4
2650,2016,1,229,2
2673,2015,3,100,1
2673,2015,9,103,1
2700,2014,6,109,1
2702,2014,8,99,1
2702,2014,12,222,2
2702,2015,1,301,2
2702,2015,6,226,2
2702,2015,7,109,1
2702,2015,8,105,1
2702,2015,9,348,3
2702,2015,10,228,2
2702,2015,11,129,1
2702,2015,12,218,2
2728,2014,6,315,1
2728,2015,1,200,2
2728,2015,2,394,4
2728,2015,4,313,1
2728,2015,5,108,1
2728,2015,6,516,5
2728,2015,7,204,2
2728,2015,9,548,5
2728,2015,10,457,4
2728,2015,11,201,2
2728,2015,12,123,1
2738,2014,9,1215,2
2738,2014,10,121,1
2738,2014,12,482,1
2743,2015,1,222,1
2783,2015,5,280,2
2818,2014,6,178,1
2855,2015,5,237,1
2859,2015,6,322,1
2862,2015,1,95,1
2866,2014,7,866,1
2873,2014,6,135,1
2874,2015,7,994,2
2884,2014,6,86,1
2884,2014,7,70,1
2894,2014,6,89,1
2897,2014,6,89,1
2897,2015,9,112,1
2897,2015,10,312,2
2897,2015,11,156,1
2898,2014,6,89,1
2898,2015,7,90,1
2904,2014,6,89,1
2905,2015,7,168,2
2938,2015,12,323,3
2964,2015,7,101,1
2978,2015,8,115,1
2979,2015,6,519,2
2981,2014,8,250,1
2982,2015,6,146,1
2986,2014,10,159,1
2986,2015,8,316,2
2986,2015,9,991,2
3004,2015,7,112,1
3004,2015,8,224,2
3004,2015,9,195,2
3004,2015,10,660,6
3004,2015,12,561,5
3008,2015,9,110,1
3008,2015,11,111,1
3018,2015,10,292,2
3030,2015,7,443,1
3030,2015,8,237,1
3030,2015,10,233,1
3041,2014,7,98,1
3062,2015,5,202,2
3062,2015,6,274,1
3103,2015,7,198,2
3103,2015,8,227,2
3103,2015,11,244,1
3103,2015,12,110,1
3107,2014,6,94,1
3107,2014,11,94,1
3107,2015,4,110,1
3107,2015,8,455,4
3107,2015,9,117,1
3107,2015,10,455,4
3107,2015,11,116,1
3114,2015,6,303,2
3114,2015,7,219,2
3114,2015,8,757,7
3114,2015,9,340,3
3114,2015,10,571,5
3114,2015,11,226,2
3114,2015,12,111,1
3124,2014,11,113,1
3124,2014,12,98,1
3124,2015,8,105,1
3124,2015,9,220,1
3125,2015,7,190,2
3126,2015,7,446,2
3132,2015,6,148,1
3186,2014,9,174,2
3186,2014,10,86,1
3221,2014,11,95,1
3221,2015,10,134,1
3221,2015,11,126,1
3237,2014,6,188,1
3238,2014,6,1382,2
3264,2014,6,874,2
3289,2014,9,250,1
3295,2014,8,200,2
3295,2014,11,230,2
3295,2014,12,316,3
3295,2015,1,113,1
3295,2015,2,440,4
3295,2015,3,500,5
3295,2015,4,423,4
3295,2015,5,421,4
3295,2015,6,448,4
3295,2015,7,330,3
3295,2015,8,573,4
3295,2015,9,572,5
3295,2015,10,654,6
3295,2015,11,573,5
3295,2015,12,226,2
3295,2016,1,110,1
3299,2015,1,93,1
3302,2014,6,1311,2
3324,2015,8,112,1
3346,2014,6,90,1
3347,2014,6,180,1
3360,2015,11,43,1
3361,2015,10,264,1
3361,2015,11,647,2
3372,2014,12,117,1
3372,2015,8,118,1
3397,2015,1,223,1
